__label__贴片电容 , 	贴片 电容 贴片 电容 贴片 电容 1000 uf 6.3 v 1000 uf 6.3 v 8 * 10.5 400.0 0.278 lc
__label__采样电阻 , 	ste1206m1w0r043f 0.043 ± 1% ± 50ppm ° c 贴型 贴型 1w 43m ω r043 1206 walter 华德
__label__贴片高精密-低温漂电阻 , 	tc0325f402kt5e 25ppm 贴型 ± 25ppm ℃ 4.02 贴型 1 6w 4.02 ω ± 1% 0603 uni royal
__label__薄膜电容 , 	capacitors film capacitors e761322 bfc246343901 390pf 400v 1% axial kp capacitor 2222 463 43901 1160
__label__轻触开关 , 	uk b02124g50 aq25y 轻触 6 * 6 * 5 支架 轻触 开关 6 * 6 * 5 支架 6 * 7.4 * 5 支架 250gf 250gf 10w 50ma 12vdc 行程 0.25 ± 0.1 mm usakro 美韩
__label__贴片高精密-低温漂电阻 , 	arg05ftc8872n ± 25ppm ℃ 88.7 k ± 1% 88.7 k ω 8872 贴型 贴型 1 8w 0805
__label__采样电阻 , 	sr732ettdr240f 电流 传感 电阻器 smd . 24 ohm 1% koa
__label__带灯开关 , 	tllag 72apg r1kh1 v a 侧压 直插 轻触 开关 带灯 橙 绿 through hole diptronics
__label__功率电感 , 	mhci06030 r22m s8 ± 20% 220nh smd 7.3 x6.6 x3.6 mm chilisin
__label__螺丝钉接线端子 , 	固定 接线 端子 low profile 5.00 6 a ile 5.00 6 asy green
__label__金属膜电阻 , 	resistors metal film t401942 sfr2500005609ja500 56r 0.4 w 5% sfr25 mf resistor 2322 181 43569 5000
__label__功率电感 , 	ckcs6045 10uh m ± 20% 10uh smd 6.0 x6.0 x4.7 mm cenker
__label__锅仔片 , 	603 548s 060 锅 仔片 圆形 弹片 圆弹 5 带 3 个点 hyp 鸿源 精密
__label__采样电阻 , 	sy2512cfr080 3w 合金 电阻 ± 1% ± 50ppm ° c 0.08 贴型 贴型 0.080 ω r080 2512 sanyear 叁 叶源
__label__轻触开关 , 	ts 1085s b3 轻触 开关 4.8 * 3.6 * 4.6 带柱 四脚 中 乌龟 贴片 250gf smd 4.8 x3.6 x4.6 mm yuandi 元迪
__label__发光二极管 , 	67 21st rke n275534z15 szm 2t ra90 白光 2700k smd 3.5 x2.8 x0.7 mm
__label__贴片电阻 , 	贴片 电阻 cr 05jl7 51r vking 50.0 0.0 smt 0805 51r 5%
__label__压敏电阻 , 	05d220k 22v 100a 18.7 v 22 18.7 26 48v 26v 18v through hole cov 德欣
__label__功率电感 , 	slm20162r2mit 2.2 uh ± 20% 0806 sunltech
__label__功率电感 , 	yprh5d28 330m 直流电 阻 内阻 189m ω ± 20% 33uh 额定电流 0.75 a 电感 33uh 0.75 a ± 20% smd 5.7 x5.7 x3.0 mm yjycoin 益嘉源
__label__拨动开关 , 	mfp221n through hole knitter switch 能德 开关
__label__无源晶体振荡器 , 	cxt0004 cristal 32.768 khz cylindrico 12.5 pf abracon ab38t 32.768 khz q1 1 abracon ab38t sim 5000.0
__label__贴片电容 , 	228.0 11003086 贴片 电容 47 uf 50v smd 30000.0
__label__压敏电阻 , 	112kd20 through hole brightking
__label__功率电感 , 	hpi252012p r68m 680nh ± 20% smd 2.5 x2x1.2 mm 3l
__label__功率电感 , 	slf0302 470mtt ± 20% 47uh smd 3.5 x3.0 mm sunltech
__label__功率电感 , 	smtdr54 270m 27uh ± 20% smd 5.8 x5.2 x4.55 mm 3l
__label__通用二极管 , 	sk34 diode sma 2
__label__可调电阻电位器 , 	rs201111j011 through hole alps 阿尔卑斯
__label__轻触开关 , 	tl3301ef160qg 触觉 开关 smt tact switch spst 0.05 a 12v e switch
__label__薄膜电容 , 	c312j224ja0c000 ± 5% 630v 105 ℃ 25 220nf 224 220nf 40 ℃ through hole p 25mm farad
__label__贴片电容 , 	lm2 lm 27n 0402hp 27nxjl t 0402 0.05
__label__电源连接器 , 	amphenol slppb50bsb1eh surlok plus 8.0 mm right angle pl
__label__轻触开关 , 	tl3301nf260qg 触觉 开关 6mm smt gull wing 4.3 mm act height e switch
__label__NTC热敏电阻 , 	ntc nths0805n02n1002kp nths0805n02n1002kp nd thermistor ntc 10kohm 3477k 0805
__label__采样电阻 , 	ur73d1jttd20l0f 电流 传感 电阻器 smd . 02 ohm 1% koa
__label__贴片电阻 , 	51 ohm r44 r45 805 541 51.0 cct nd
__label__功率电感 , 	11 inductor 5.2 x 5.2 x 2.8 mm 2.8 a 3.3 uh sru5028 3r3y fn 136 2085 pc 100.0 sru5028 3r3y
__label__贴片高精密-低温漂电阻 , 	res smd 22k ohm 0.1% 1 16w 0603 a103066ct nd 0.23 6 1.38 phase iii pcb
__label__云母电容 , 	mc12a181 mc12a181 nd cap mica 180p 1% 100v 1210
__label__发光二极管 , 	led yellow green 2v led 0603 0.5 mm a sp194g2c c01 4t amicc
__label__贴片高精密-低温漂电阻 , 	tc0625b2002t5e ± 0.1% ± 25ppm ℃ 贴型 25ppm 贴型 1 3w 20k 20k ω 2002 1206 uni royal
__label__NTC热敏电阻 , 	ntc nths1206n01n2202ke nths1206n01n2202ke nd thermistor ntc 22kohm 3964k 1206
__label__行程开关 , 	k9 1801a 1 ip67 微动 开关 带 13.4 直压 through hole hro
__label__电源连接器 , 	amphenol slppb50bsb1eh surlok plus 8.0 mm right angle pl
__label__贴片电容 , 	c7 cl10a106mq8nnnc cap cer 10 uf 6.3 v 20% x5r 0603
__label__功率电感 , 	vls252010hbx 1r5m 1 固定 电感器 1.5 uh 3a 94mohms power circuits
__label__发光二极管 , 	14 2c6806a0 d11 s000323 led blue clear 0805 smd led 0805 blue cxg 发光 二极管 40
__label__功率电感 , 	swrh1207b 330mt ± 20% 33uh smd 12.5 x12.5 x8mm max sunlord
__label__功率电感 , 	pio75 470mt ± 20% 47uh smd 7.8 x7x5mm fenghua
__label__采样电阻 , 	lcsr2512fr025q9l 0.025 ± 50ppm ° c ± 1% 0.025 ω ± 50ppm 贴型 贴型 2w 2512 resistortoday 开步
__label__功率电感 , 	pis2d15lp 4r7m t 4.7 uh ± 20% smd 3.2 x3.2 x1.5 mm emtek 兆欣
__label__轻触开关 , 	ksa0m412lft 触觉 开关 switch tact spst vert mark ii c k
__label__薄膜电容 , 	c222s334k60c000 105 ℃ 55 ℃ 330nf 4 50v 15 ± 10% 聚酯 电容 直流 滤波 pfc 330nf 334 ± 10% 4 50v through hole p 15mm farad
__label__功率电感 , 	ckcs4030 2.2 uh m 2.2 uh ± 20% smd 4.0 x4.0 x3.0 mm cenker
__label__线对板线对线连接器 , 	770086 1 管脚 插座 连接器 recpt 6p detent lock matrix
__label__贴片电阻 , 	贴片 电阻 电阻 smd 9.76 k ohm 1% 0603 rc0603fr 079k76l 1 100 mbs 5330 1.0
__label__钽电容 , 	钽质 电容器 固体 smd 钽 电容器 钽电容 t491a225k016at t491a225k016at 2.2 uf ± 10% 16v c225 kemet 400
__label__碳膜电阻 , 	resistor 240k ohm axial lead drawers f53 202 carbon 1 4w 5% 240kqbk nd
__label__贴片高精密-低温漂电阻 , 	rn73h1jttd2700b25 thin film resistors 270ohm 0603 0.1% 25p pm 100mw 75v koa
__label__贴片电阻 , 	贴片 电阻 电阻 smd 100k ohm 5% 0402 rc0402jr 07100kl 4 400 mbs 5330 4.0
__label__旋转编码开关 , 	rm4af 10r v t r 10 档 旋转 贴片 旋钮 开关 smd diptronics
__label__功率电感 , 	prs8040 101mt ± 20% 100uh smd 8x8x4mm fenghua
__label__贴片高精密-低温漂电阻 , 	arg05ftc0300 ± 25ppm ℃ ± 1% 1 8w 贴型 30 30 ω 30r0 贴型 0805
__label__轻触开关 , 	ts 1096d a2b2 d2 轻触 开关 3 * 6 * 5.0 mm 两脚 插件 全 白色 180gf yuandi 元迪
__label__轻触开关 , 	ts669tp 不锈钢 弹片 贴片 250gf 轻触 开关 6 * 6 * 9 smd shouhan 首韩
__label__功率电感 , 	mwsa1206s 6r8mt 6.8 uh ± 20% smd 12.6 x13.45 x5.8 mm sunlord
__label__功率电感 , 	smrh4d28 2r2nt 贴片 功率 电感 2.2 uh ± 30% 4d28 sxn
__label__功率电感 , 	slw5020s6r8mst 6.8 uh ± 20% 1.70 a smd 5x5x2mm sunltech
__label__无源晶体振荡器 , 	xtal 40mhz cl 15pf 7ppm lf 高溫 規格 85 1 3000
__label__数模转换芯片 , 	78 16p8302b0 u03 s000843 ic adc 24bit sigma delta 28ssop ltc2418ign pbf linear technology analog devices sop 90
__label__采样电阻 , 	cr2512jr360e04r ± 5% 0.36 ± 600ppm ° c 贴型 1w 贴型 0.36 ω r36 2512 ever ohms 天二
__label__D-Sub连接器附件 , 	插接 件 dr 37p 37 母头 弯脚 插座 vga 37p vga m dip 39 1 cn1
__label__功率电感 , 	fxc1040 2r2m ± 20% 2.2 uh 12a smd 11.8 x10.8 mm cjiang
__label__超快快恢复二极管 , 	贴片 二极管 es1d smb es1d vashy 2930
__label__MOSFET , 	q8 sqm120n10 3m8 ge3 100v 3.8 m ω 10.0
__label__发光二极管 , 	19 237 r6ghbhc m07 2t rgb 灯 红 翠绿 蓝三色 光 电流 分光 混 白光 效果 一致性 好 smd 1.6 x1.6 mm
__label__FFCFPC连接器 , 	afc07 s14fcc fpc 连接器 0.5 mm 卧式 下接 14p js
__label__功率电感 , 	aspi 0602s 100m t 固定 电感器 10uh 20% 40c 85c abracon
__label__功率电感 , 	mwsa1205s 1r0mt 1uh ± 20% smd 12.6 x13.45 x5.0 mm sunlord
__label__贴片高精密-低温漂电阻 , 	精密 片状 抗 硫化 电阻器 rhs 03k4991dt rk73h1jrttd4991d rms06dt4991 sf06h4991dtla 额定功率 1 10w 阻值 4.99 k ω 阻值 ± 0.5% ± 100ppm ℃ 55 ℃ 155 ℃ 电压 50v 0603 0603 ta i 300 90000
__label__贴片电阻 , 	47 resistor r163 0402 r163 3136.236 1847.394 180.0 top
__label__功率电感 , 	swpa4020s1r0mt 1uh ± 20% smd 4.0 x4.0 x2.0 mm sunlord
__label__轻触开关 , 	ts 1102n 4316 l6 w6 h4.3 through hole sofng 硕方
__label__发光二极管 , 	tj l234fghtfcsflc2r a5 234 直插 透明 红光 短脚 through hole togialed
__label__NTC热敏电阻 , 	ntc ntcle213e3123fmt1 ntcle213e3123fmt1 nd thermistor ntc 12kohm 3740k bead
__label__拨动开关 , 	k3 1390s e1 7.1 * 1.5 mm hro
__label__功率电感 , 	nrh3010t220mn 固定 电感器 3010 22uh 924mohms 20% tol 380ma taiyo
__label__安装型大容量电容 , 	cap alum 2700 uf 20% 525v screw
__label__薄膜电容 , 	c159 . 22mf 2 50v mylar 1429 2224
__label__功率电感 , 	apw12a80m220 22uh ± 20% smd 12.5 x12.5 x8mm coilank 驰兴
__label__MOSFET , 	q1 si1012r sc75a sig bottom l8 nfet transistor si1012r fec 9550445
__label__贴片电阻 , 	129.0 10906177 贴片 电阻 10k 1w 2512 30000.0
__label__薄膜电容 , 	c352s105k64c322 ± 10% 1 uf 4 50v through hole p 15mm farad
__label__功率电感 , 	etqp3m1r0kvn ± 20% 电器 电源 方案 1uh smd 6.4 x6x3mm
__label__功率电感 , 	smdrs1265 220n 22uh ± 30% smd 12.5 x12.5 x6.5 mm sxn
__label__功率电感 , 	nrs4018t2r2mdgj 固定 电感器 4018 2.2 uh 50.4 mohms 20% tol 2200ma taiyo
__label__无源晶体振荡器 , 	晶振 32.768 khz cl 7pf 20ppm 3.2 mm * 1.5 mm * 0.75 mm 7fc32768007y c 7fc32768007y 20
__label__直插电解电容 , 	c114 100mf 15v elect . p11198 nd
__label__薄膜电容 , 	220pf cap film 63vdc 10% radial capacitor . . product detail en pfr5221j63j11l4bulk 399 7681 nd 3465848
__label__压敏电阻 , 	7.0 压敏 电阻 10d471k 10d471k 610
__label__电容器阵列与网络 , 	90 3 2 0805 a4 ecj tvb1c103m cp21 cp52 cp53 cp52 cp53 cap array . 01 uf 16v x7r 0805 abk0000ce2 . pdf
__label__贴片电容 , 	grm188r61e105ka12d c46 cap smd 1 uf x5r 10% 25v 0603 cap 1 uf 10% 25v 0603 digital 490 3897 1 nd 1 uf 25v c0603
__label__贴片高精密-低温漂电阻 , 	tc0325f3600t5e 1 6w 360 ω 25ppm 贴型 360 ± 25ppm ℃ 贴型 ± 1% 0603 uni royal
__label__贴片电阻 , 	贴片 电阻 1206 1 4w 0r22 ± 5% 1206 1 500 500 r132
__label__安规电容 , 	cd90zu2ga222mynka cap x1y1 oth rdl 2.2 nf 20% 999vdc cd90zu2ga222mynka 1000.0 1000.0 0.96 8 ickey
__label__贴片高精密-低温漂电阻 , 	rn73h1jttd8201b25 thin film resistors 8.2 kohm 0603 0.1% 25 ppm 100mw 75v koa
__label__轻触开关 , 	ts 1096s a1b3 c1d2 轻触 开关 3 * 6 * 4.3 mm 贴片 smd 两脚全 白色 250gf yuandi 元迪
__label__贴片高精密-低温漂电阻 , 	ar05dtd1000 ± 0.5% 1 10w 贴型 100 ω 1000 100 贴型 0805
__label__金属膜电阻 , 	resistors metal film t642389 pr02000205601ja100 5k6 2w 5% pr02 metal film resistor 2306 198 53562 174
__label__发光二极管 , 	50 217st kk5c h656534z15 2t 白光 smd 4.0 x1.4 mm
__label__贴片电阻 , 	151 301007100 1 14000 res 49.9 1% 0402 wr04x49r9 ftl
__label__拨动开关 , 	ta 3534 a1 滑动 开关 13 * 3.5 * 2.0 mm 贴片 拨 四脚 三档 smd 13x3.5 x2.0 mm yuandi 元迪
__label__超级电容器 , 	1f cap pol1 c15 1f 5.5 v 1
__label__功率电感 , 	nrh2412t1r0nngh 固定 电感器 2412 1uh 92.4 mohms 30% tol 1300ma taiyo
__label__贴片高精密-低温漂电阻 , 	arg06ftc0470 1 4w 47 47 ω 47r0 贴型 ± 25ppm ℃ 贴型 ± 1% 1206
__label__贴片高精密-低温漂电阻 , 	tc0550b3302t5j 50ppm ± 0.1% 33k ω 0805 uni royal
__label__功率电感 , 	swpa8040s150mt 片式 电感 15 μ h ± 20% dcr 0.047 ω 8.0 8.0 mm sunlord
__label__贴片电阻 , 	电阻 10k r0603 3 6
__label__贴片电容 , 	c20 c21 c24 c25 c28 c29 贴片 电容 10pf 16v 0603 6
__label__线性稳压芯片LDO , 	u1 ic regulator ldo 5 v 0.25 a 8dfn mcp1703t 5002e mc
__label__功率电感 , 	wpn252010h4r7mt 片式 电感 4.7 uh ± 20% dcr 0.23 ω 2.5 2.0 mm sunlord
__label__贴片电解电容 , 	100 uf 16v vua101m1ctr c82 c86 cap smd bd8.0 l8.3 w8.3 fd 2
__label__拨码开关 , 	dmr 02 v 2 位 贴片 拨码 2pin 位 间距 2.54 mm 贴片 拨码 开关 平拨 低杆 smd diptronics
__label__旋转编码开关 , 	sdsr 16h 16h 档 10 * 10 旋转 through hole sungmun 星 炆
__label__按键开关 , 	8ms9p1b05m1qes through hole dailywell 德利
__label__板对板连接器 , 	bm28b0.6 16dp 2 0.35 v 51 板对板 夹层 连接器 16p header straight smt hirose
__label__无源晶体振荡器 , 	508 1893a2010 18.9375 m20pf ± 10ppm 40 ω 圆柱 晶体 圆柱体 晶振 ju3 * 8 ju3 * 8
__label__云母电容 , 	cd10fd121go3 cd10fd121go3 nd cap mica 120pf 2% 500v radial
__label__贴片电感 , 	56.0 贴片 电感 la0r47 sr04 la0r47
__label__贴片高精密-低温漂电阻 , 	tc0325d3012t5e 1 6w 贴型 ± 25ppm ℃ 30.1 k ± 0.5% 30.1 k ω 贴型 25ppm 0603 uni royal
__label__贴片电阻 , 	贴片 电阻 r60 r61 贴片 电阻 270 ohm res sm thik 2512 1w 5% 270 ohm 2 rsmr 00105 2700 2240
__label__轻触开关 , 	1ts028b 1500 0450 ct 点 2.8 * 1.9 * 0.45 150gf smd 2.8 x1.9 x0.45 mm hyp 鸿源 精密
__label__轻触开关 , 	k2 1114sa a4sw 06 4.8 * 3.5 mm hro
__label__功率电感 , 	tmpc0503h 1r0mg d 1uh ± 20% smd 5.7 x5.2 x2.8 mm tai tech
__label__旋转编码开关 , 	srbq290301 旋钮 开关 9 pos 0.1 amp 16 volts alps 阿尔卑斯
__label__金属膜电阻 , 	resistors metal film t623377 pr01000101809ja500 18r 1w 5% pr01 metal film resistor 2322 193 14189 3350
__label__安规电容 , 	r46ki333000p0k ± 10% 275vac 330nf 15 through hole kemet
__label__功率电感 , 	mcf 1050 1r5 n2 此 商品 当前 未能 pdf ± 20% 1.5 uh smd hk hotline 合泰盟方
__label__功率电感 , 	mhci06015 1r0m r8l ± 20% 1.0 uh smd 6.6 x6.95 x1.3 mm chilisin
__label__贴片电容 , 	c1 c37 c38 c39 cap x5r 4.7 uf 20% 6.3 v 0402 grm155r60j475me47d cl05a475mq5nqnc digi key 490 5915 1 nd 0.0275 digi key 1276 1483 1 nd 0.0275
__label__功率电感 , 	yspi0750 4r7m ± 20% 4.7 uh 6.5 a smd 7.3 x6.6 x5.0 mm yjycoin 益嘉源
__label__功率电感 , 	fxl0630 r47 m 成型 电感 合金粉 材 电感 0.47 ± 20 % μ h 饱和电流 20a 7.3 6.8 3.0 mm cjiang
__label__直插瓷片电容 , 	de11xra220ka4bn01f 瓷片 电容器 10x6x4mm 2 50v ac 22pf
__label__拨码开关 , 	da 02blp 2 位 2.54 mm through hole xkb
__label__轻触开关 , 	ts 1010gd br09026 260gf 6 6 9.0 插件 轻触 开关 260gf through hole 6 6 9.0 mm xunpu 普
__label__采样电阻 , 	sr732bttdr360f ± 1% 0.36 ω r360 ± 100ppm ° c 330mw 贴型 贴型 0.36 1206 koa
__label__发光二极管 , 	12 22 bhr6c a01 2c 发光 二极管 smd
__label__功率电感 , 	swrh1205b 220mt 22uh ± 20% smd 12.5 x12.5 x6mm max sunlord
__label__直插电解电容 , 	c 88 uhe1v222mhd alum nichicon 2200mf 35v aluminum electrolytic d16xh35.5
__label__轻触开关 , 	dtsm 648r s v t r 贴片 轻触 开关 方头 6.2 * 6.2 * 7.3 mm 贴片 260gf 克力 俗称 6 * 6 * 7.3 smd diptronics
__label__压敏电阻 , 	sfi0805ml080c lf 0805 sfi 立昌
__label__肖特基二极管 , 	d6 bat54 sot23 sig bottom l8 40v schottky barrier diode bat54film 497 7162 1 nd
__label__贴片高精密-低温漂电阻 , 	arg02ftc4990 ± 25ppm ℃ 贴型 499 ω 1 16w 499 贴型 4990 ± 1% 0402
__label__采样电阻 , 	asr m 3 0.5 j t 0.5 m ω ± 5% 2512 yezhan
__label__压接端子 , 	202237 7 管脚 插座 连接器 typiii skt s tab br au sig
__label__采样电阻 , 	holrs1575 0.3 mr 1% 0.3 m ω ± 1% 7w smd 15.2 x7.6 mm milliohm 毫欧
__label__功率电感 , 	smtdr32 4r7m 4.7 uh ± 20% smd 3.5 x3.0 x2.0 mm 3l
__label__功率电感 , 	mwsa1206s 151mt 150uh ± 20% smd 12.6 x13.45 x5.8 mm sunlord
__label__轻触开关 , 	ts 1010dgd br04326 260gf 12 12 4.3 插件 轻触 开关 260gf through hole 12 12 4.3 mm xunpu 普
__label__绕线电阻 , 	绕线 电阻 ewwr0010j82r0t9 82 ω 82r0 ± 5% 10w
__label__功率电感 , 	sph252010hr47mt 片式 电感 0.47 uh ± 20% dcr 0.037 ω 2.5 2.0 mm sunlord
__label__旋转波段开关 , 	8 pos rotary switch 8 pos rotary switch . . product detail en a12505rnzq ckn10204 nd 2043161
__label__贴片高精密-低温漂电阻 , 	arg05ftc1204 贴型 1.2 m ω 1204 1.2 m ± 1% 贴型 1 8w ± 25ppm 0805
__label__贴片高精密-低温漂电阻 , 	tr0603b3k60p0525z 1 10w ± 25ppm ℃ ± 0.1% 25ppm 贴型 3.6 k 3.6 k ω 3601 贴型 0603 ever ohms 天二
__label__轻触开关 , 	ts 1109s b a 轻触 开关 4.5 * 4.5 * 3.8 贴片 铜盖 160gf smt smd xkb
__label__功率电感 , 	tmpc1004h 1r0mg d 1uh 贴片 功率 电感 或是 ± 20% 18a smd 11x10x3.8 mm tai tech
__label__贴片高精密-低温漂电阻 , 	bvs m r001 1.0 ± 1% 4w 0.001 贴型 1m ω r001 ± 1% 3920 isabellenhuette 伊萨 普兰
__label__功率电感 , 	cdrh3d18np 4r7nc 固定 电感器 4.7 uh 1.35 a 0 smd pwr inductor sumida
__label__压敏电阻 , 	270kd10j through hole brightking
__label__压敏电阻 , 	vdr 10d391k 320v 396v 360 324 396 2.5 ka 360v 6 50v 324v through hole vdr
__label__直插瓷片电容 , 	w07b1d221kq0t0s0n0 ± 10% 220pf 221 5kv y5p through hole p 10mm ste
__label__贴片电阻 , 	81.0 10906104 贴片 精密 电阻 331 * 1206 30000.0
__label__功率电感 , 	10uh l1 l2 l3 l4 l5 whc0624 10uh 7 * 7 * 2.4
__label__安装型大容量电容 , 	cap alum 330 uf 20% 4 50v snap
__label__轻触开关 , 	uk b0228 g17 250 6 * 6 * 17 贴片 17 贴片式 250gf 250gf 10w 50ma 12vdc 行程 0.25 ± 0.1 mm smd usakro 美韩
__label__贴片电容 , 	c15 c18 cap cer 4.7 uf 25v 10% x5r 0603 cl10a475ka8nqnc 4.7 uf cap
__label__MOSFET , 	15 场效应管 ipd220n06l3g q2 q3 2 6
__label__贴片电阻 , 	贴片 电阻 470r 0805 贴片 电阻 1%
__label__直插瓷片电容 , 	l06s1b150kq0t0s0n0 ± 10% sl 500v 15pf 150 through hole p 5mm ste
__label__贴片电阻 , 	贴片 电阻 电阻 smd 11.5 k ohm 1% 0603 rc0603fr 0711k5l 2 200 mbs 5330 2.0
__label__薄膜电容 , 	c 61 b32621a6223j radial 1429 6223 22nf 630v mkp 5% p10mm
__label__安规电容 , 	q07f1d102mn0b0s0n0 400vac 1nf y1 安规 电容 10 ± 20% through hole p 10mm ste
__label__安规电容 , 	ecquaaf224k ± 10% 15 安规 电容 x2 0.22 uf 220nf 275vac 电器 电源 方案 through hole p 15mm
__label__绕线电阻 , 	绕线 电阻 rws02j47r0a520nh 2w 47 ± 5% 47 ω 470
__label__功率电感 , 	jshc0650h 4r7m g 4.7 uh ± 20% 6a smd 7.8 x7.0 x5.0 mm jinlai 金籁
__label__发光二极管 , 	15 215 y5c ap2r1l 2t 黄光 1206
__label__拨码开关 , 	dpl 04blp 拨码 开关 through hole xkb
__label__开关二极管 , 	1 230 2007010021 二极管 diode on mmsd4148t1g sod 123 件 d502 d503 d504 d505 d508 d509 d510 d511 d512 d513 d514 d515 d516 d517 d518 d519 16 20 0.3 b 320 dlk
__label__功率电感 , 	nrs6012t150mmgj 固定 电感器 6012 15uh 354mohms 20% tol 800ma taiyo
__label__采样电阻 , 	holrs5930 10w 0.2 mr 1% 0.0002 ω ± 1% 5930 milliohm 毫欧
__label__轻触开关 , 	ts 1047 a4b3 d2 轻触 开关 6.2 * 6.3 * 5.0 硅胶 四脚 贴片 蓝柄 按键 250gf smd 6.2 x6.3 x5.0 mm yuandi 元迪
__label__贴片高精密-低温漂电阻 , 	arg03ftc1103 ± 1% 贴型 110k 1 10w ± 25ppm ℃ 贴型 110k ω 1103 0603
__label__RS485RS422芯片 , 	adm2483 收发器 u8 soic 16 宽体 10 1
__label__拨动开关 , 	k3 1392r g1 9.90 mmx3.00 mm1p3t 复位 smd hro
__label__有源晶体振荡器 , 	ssr033000i3ch hso751s 33.000 mhz 3.3 v smd 7050 hele
__label__功率电感 , 	slf12575t 101m1r9 pf 固定 电感器 smd 100uh 1.9 amps
__label__直插瓷片电容 , 	ct81 p5y5p1d101ksew 100pf 101 7.5 ± 10% 3kv 3kv 100pf through hole fenghua
__label__绕线电阻 , 	绕线 电阻 nws01j4r70a520nh 4.7 1w ± 5% 4.7 ω 4r7
__label__功率电感 , 	mwsa1204s 3r3mt 3.3 uh ± 20% smd 12.8 x13.45 x4mm sunlord
__label__功率电感 , 	25 inductor 100uh 3a smd sds127h 101m lf coilmaster sds127h 101m lf 1 800 sds127h 101m lf coilmaster 1
__label__无源晶体振荡器 , 	x308012288msd2sc 20pf yt 38m 12.288 mhz 20ppm radial 3x8mm
__label__NTC热敏电阻 , 	ntc 1 r4 1 ntc 5d 9
__label__采样电阻 , 	asr k 7 2j t 2m ω ± 50ppm ° c 贴型 0.002 ± 5% 贴型 7w 5930 yezhan
__label__功率电感 , 	swpa3010s1r0nt 片式 电感 1.0 μ h ± 30% dcr 0.065 ω 3.0 3.0 mm sunlord
__label__绕线电阻 , 	ewwr0006j200rt9 6w ± 5% 200 200 ω 200r ± 5%
__label__金属膜电阻 , 	resistors metal film t662404 pr03000201000jac00 100r 3w 5% pr03 metal film resistor 2322 195 14101 2575
__label__功率电感 , 	lvs606020 150m n 15uh ± 20% smd 6.0 x6.0 x2.0 mm chilisin
__label__钽电容 , 	贴片 钽电容 293d105x9035a2te3 1206 1 uf case b 10% 16v 104 y
__label__无源晶体振荡器 , 	贴片 晶振 25m osc5032 x9 1 无源 2 脚
__label__贴片高精密-低温漂电阻 , 	arg06ftc2002 1 4w 20k ω 2002 ± 1% 20k 贴型 ± 25ppm ℃ 贴型 1206
__label__金属膜电阻 , 	resistors metal film t626391 pprr 193 15122 1k2 1w 5% pr01 mf resistor pprr 193 15122 pilkor 9000
__label__发光二极管 , 	mhpa1921rgbdt s led 贴片 1921 室外 全彩 rgb 高亮 红绿 蓝三色 smd meihua
__label__贴片电阻 , 	75k r0402 erj 2rkf7502x 600 9920 7000 1000
__label__采样电阻 , 	1206w3f390mt5e ± 1% 0.039 0.039 ω 0r039 1 3w ppm ℃ ± 800 1206 uni royal
__label__采样电阻 , 	sy2512cjr050 ± 5% 贴型 合金 电阻 0.05 3w ± 50ppm ° c 贴型 0.050 ω r050 2512 sanyear 叁 叶源
__label__压敏电阻 , 	vdr 07d680k 61v 75v 135v 56v 250a 68v 68 61 75 through hole vdr
__label__可调电阻电位器 , 	r16 trim pot 500 ohm 10 turn top adjust digi key ct94w501 nd 1.32
__label__轻触开关 , 	ts 1102s c b 轻触 开关 6 * 6 * 6.5 贴片 260g xkb
__label__安规电容 , 	q11e1d222mq0t0s0n0 2.2 nf y1 安规 电容 10 ± 20% 400vac through hole p 10mm ste
__label__弹簧式接线端子 , 	1791826 固定 接线 端子 1p 2.54 mm 90deg
__label__贴片高精密-低温漂电阻 , 	tc0550b470jt5j ± 0.1% 47 ω 50ppm 0805 uni royal
__label__无源晶体振荡器 , 	104 industery crystal 32.768 k 12pf 3.2 * 1.5 mm fc 135 32.768 k seiko sc 32s 32.768 k 1 x1 hsx2 0302
__label__功率电感 , 	电感 47uh spd74r 473m spd74 2 api delevan 47 μ h shielded wirewound inductor 1.3 a 260mohm
__label__金属膜电阻 , 	薄膜 电阻器 mrs25000c3902fct00 resistor axial metal film 39k 0 6w 1% .
__label__贴片高精密-低温漂电阻 , 	arg03ftc9310 931 ω 9310 ± 1% 贴型 931 1 10w 贴型 ± 25ppm 0603
__label__功率电感 , 	ynr5020 470m 磁胶 电感 0.77 a 47uh 523m ω ± 20% smd 5.0 x5.0 x2.0 mm yjycoin 益嘉源
__label__无源晶体振荡器 , 	61 y1 xtal 16mhz smd abm10 . abm10 16.000 mhz e20 t abracon corporation smd 4 4 1 100 100
__label__安装型大容量电容 , 	铝质 电解 电容器 管理 单元 47 uf 4 50v 22x20 snap
__label__采样电阻 , 	cr2512jr020e04z ± 5% 贴型 0.02 0.02 ω 0r02 1w ± 1800ppm ° c 贴型 2512 ever ohms 天二
__label__轻触开关 , 	ts 1102s b m b 6 * 6 * 10 贴片 160gf 袋装 xkb
__label__线性稳压芯片LDO , 	lt1584ct 3.3 linear technology ic ldo regulator 7a 3.3 v to220 3 to 220 1
__label__排针排母 , 	pz254v 11 07p 7p 2.54 mm 排针 排母 排针 单排 直插 through hole p 2.54 mm
__label__功率电感 , 	aspi 7318 2r2m t 固定 电感器 2.2 uh 20% 55c 125c abracon
